"Name", "ShortName", "ModeAndPID", "Equation", "Min Value", "Max Value", "Units", "Header", "startDiagnostic", "stopDiagnostic", "scale","minimumRefreshDelayMillis"
"~Gen F Terminal Signal %","Gen F","0x22114d","A/2.55",0,100,"Percent","6C10F1","","",1,0
"~GEN-L Terminal","GEN-L","0x221110","Lookup(Bit(A:6)::0='On':1='OFF')",0,1,"Bit","6C10F1","","",1,0
"~HO2S 1","HO2S 1","0x221145","(A*.005)-0.068",0,1,"Volts","6C10F1","","",1,0
"~HO2S 2","HO2S 2","0x221146","(A*.005)-0.068",0,1,"Volts","6C10F1","","",1,0
"~HO2S Heater(s) (bits 1&2)","HO2s Htrs","0x221112","Lookup(Bit(A:1)+Bit(A:2)::0='O2Htrs_OFF':1='O2Htr_ON':2='O2Htrs_ON')",0,100,"","6C10F1","","",1,0
"~Ignition 1 Signal","Ign 1 Sig","0x221141","A/10",0,20,"Volts","6C10F1","","",1,0
"~Key in Ignition","Ign_Key","0x222101","Lookup(Bit(A:0)::0='NO':1='YES')",0,1,"Bit Lookup","6C40F1","","",1,0
"~Knock Retard","Knock Ret","0x2211a6","A/255*22.5",0,50,"Degrees","6C10F1","","",1,0
"~Loop Status? (bit 0)","Loop","0x221120","Lookup(bit(A:0)::0='OPEN':1='CLOSED')",0,1,"","6C10F1","","",1,0
"~Manifold Absolute Pressure Sensor in PSI","MAP Sensor","0x221142","A/255*5*2.74+1.5",0,15.19999981,"PSI","6C10F1","","",1,0
"~Oil Pressure Switch (bit 2)","Oil Pr Sw","0x221102","Lookup(bit(A:2)::0='OK':1='LOW')",0,1,"","6C10F1","","",1,0
"~Park/Neutral (pid 1100 bit 4)","Park/Neutral","0x221100","Lookup(bit(A:4)::1='P/N':0='OFF')",0,100,"","6C10F1","","",1,0
"~Park/Neutral Switch (1131 bit 2)","P/N Sw","0x221131","Lookup(Bit(A:2)::0='INGEAR':1='P/N')",0,1,"","6C10F1","","",1,0
"~Power Enrichment (bit 7)","Pwr Enr","0x221120","Lookup(Bit(A:7)::0='Inactive':1='Active')",0,100,"","6C10F1","","",1,0
"~Stop Lamp Switch (bit 7)","Brake Sw","0x221116","Lookup(Bit(A:7)::0='Open':1='Closed')",0,1,"","6C10F1","","",1,0
"~TCC Brake Switch (PID 1954 Bit 5)","TCC Brake","0x221954","Lookup(Bit(A:5)::0='Closed':1='Open')",0,1,"","6C10F1","","",1,0
"~TCC Control (bit 6)","TCC_ON","0x221122","Bit(A:6)",0,1,"Bit","6C10F1","","",1,0
"~TCC Enable (bit 5)","TCC_enabl","0x221121","BIT(A:5)",0,1,"Bit","6C10F1","","",1,0
"~Total.Misfire Current?","Msfr_Curr","0x221200","A",0,10000,"","6C10F1","","",1,0
"~TPS Sensor #1 %","TPS #1 %","0x2212b7","A",0,100,"Percent","6C10F1","","",1,0
"~TPS Sensor #1 Volts","TPS #1 Volts","0x2212ba","(A/255)*5",0,10,"Volts","6C10F1","","",1,0
"~TPS Sensor #2 %","TPS #2 %","0x2212b8","A",0,100,"Percent","6C10F1","","",1,0
"~TPS Sensor #2 Volts","TPS #2 Volts","0x2212b9","(A/255)*5",0,10,"Volts","6C10F1","","",1,0
"~Trans Gear by Solenoids (bits 1 & 2)","Sol_Gear","0x221954","Lookup(Bit(A:1)*2+Bit(A:0)::0='3rd':1='4th':2='2nd':3='1st')",0,100,"","6C10F1","","",1,0
"~Trans Range ABCP","TransABCP","0x221951","Lookup(A-(A>5)*32: :6='0110':3='0011':10='1010':9='1001':0='0000':5='0101':12='1100':7='#0111#':1='#0001#':2='#0010#':4='#0100#':8='#1000#':11='#1011#':13='#1101#':14='#1110#':15='#1111#')",0,100,"BITS","6C10F1","","",1,0
"~Transmission Range Display","Trans Display","0x221920","Lookup(A: :128='Park':64='Reverse':32='Nuetral':16='Drive':8='3rd':4='2nd':2='1st')",0,100,"","6C10F1","","",1,0
"~TWC Temperature Calculated","TWC°F","0x2211a3","A*10",0,2550,"°F","6C10F1","","",1,0
